precoFipe,precoMinimo,precoMedio,precoMaximo,brand,model,version,modelYear,carroceria,versionId
102960,79900,88754,100000,AUDI,A4,1.8 TFSI AMBIENTE AVANT GASOLINA 4P MULTITRONIC,2016,Perua/SW,02ce3b3bdb15c1335872d9e2c4e80529
81384,73000,79045,89990,AUDI,A4,1.8 TFSI AMBIENTE GASOLINA 4P MULTITRONIC,2015,Sedã,a901aafa1021c48e2d21e250d3252d4f
91421,79000,88377,99900,AUDI,A4,1.8 TFSI AMBIENTE GASOLINA 4P MULTITRONIC,2016,Sedã,c5925bbc541866bdf9ae895dacdfa9ab
81384,63000,75589,90000,AUDI,A4,1.8 TFSI ATTRACTION GASOLINA 4P MULTITRONIC,2015,Sedã,0bad831020a4ef55eee75796137eca6c
91421,78880,86613,94000,AUDI,A4,1.8 TFSI ATTRACTION GASOLINA 4P MULTITRONIC,2016,Sedã,080d794e9e3b6cbb15b3d4caead6f089
55784,42990,51496,59990,AUDI,A4,2.0 TFSI 16V 183CV GASOLINA 4P MULTITRONIC,2011,Sedã,ce8012180e27ff112ce8776c7d756cc5
58039,53900,57129,59999,AUDI,A4,2.0 TFSI 16V 183CV GASOLINA 4P MULTITRONIC,2012,Sedã,8f3726a7b93dd60f8c4daf548111305d
55784,45900,53925,64900,AUDI,A4,2.0 TFSI AMBIENTE 183CV GASOLINA 4P MULTITRONIC,2011,Sedã,57982f1ba7a11fd0e7dabebe320a6254
58039,52900,58096,65900,AUDI,A4,2.0 TFSI AMBIENTE 183CV GASOLINA 4P MULTITRONIC,2012,Sedã,6f0eeeda2b0cc291c55012ce3b0300bd
62657,52500,63976,83000,AUDI,A4,2.0 TFSI AMBIENTE 183CV GASOLINA 4P MULTITRONIC,2013,Sedã,5095ce739b5b38f161324535ff9b2d08
71462,59500,73678,112888,AUDI,A4,2.0 TFSI AMBIENTE 183CV GASOLINA 4P MULTITRONIC,2014,Sedã,2bf27ef7ff0eac1cab29dac291a4b928
72273,59900,64920,72000,AUDI,A4,2.0 TFSI AMBIENTE AVANT 180CV GASOLINA 4P MULTITRONIC,2013,Perua/SW,255a63da0558f54e93f8efe8bbe7617e
78294,63000,78625,114000,AUDI,A4,2.0 TFSI AMBIENTE AVANT 180CV GASOLINA 4P MULTITRONIC,2014,Perua/SW,5d0e1064744afe5437b76cb88a8cc717
146559,125800,135848,169999,AUDI,A4,2.0 TFSI AMBIENTE AVANT GASOLINA 4P S TRONIC,2017,Perua/SW,51759c79766f26ea377633ab10e9b20c
164237,147990,169959,219990,AUDI,A4,2.0 TFSI AMBIENTE AVANT GASOLINA 4P S TRONIC,2018,Perua/SW,3993749c4986c17743a90120595f207e
145430,107900,128687,145000,AUDI,A4,2.0 TFSI AMBIENTE GASOLINA 4P S TRONIC,2017,Sedã,e3debedb783561bf3996ff89bce131ab
155322,120000,146099,189990,AUDI,A4,2.0 TFSI AMBIENTE GASOLINA 4P S TRONIC,2018,Sedã,c8327ca9e6396990add9dd678dd751a5
71462,61900,71700,75900,AUDI,A4,2.0 TFSI AMBIENTE LIMO 180CV GASOLINA 4P MULTITRONIC,2014,Sedã,a380342508e86276dba3247865ae5b5f
74900,56000,71940,80900,AUDI,A4,2.0 TFSI AMBITION 211CV GASOLINA 4P S TRONIC,2013,Sedã,5d74c82629dd3488951afea22951dd7d
112291,85000,96927,105800,AUDI,A4,2.0 TFSI AMBITION AVANT 225CV GASOLINA 4P S TRONIC,2014,Perua/SW,ff2cfe2e1155b424d91f7525af8b4e45
0,200000,203598,208990,AUDI,A4,2.0 TFSI AMBITION PLUS QUATTRO GASOLINA 4P S TRONIC,2018,Sedã,8944567dcbcec8c9b02a6b2589d68c7e
0,200000,203598,208990,AUDI,A4,2.0 TFSI AMBITION PLUS QUATTRO GASOLINA 4P S TRONIC,2018,Sedã,8944567dcbcec8c9b02a6b2589d68c7e
62657,55000,61621,78000,AUDI,A4,2.0 TFSI ATTRACTION 180CV GASOLINA 4P MULTITRONIC,2013,Sedã,337ed897f90364967e78ebfc35592f90
71462,61900,69779,90000,AUDI,A4,2.0 TFSI ATTRACTION 180CV GASOLINA 4P MULTITRONIC,2014,Sedã,c05229c09bfc6c96d40114ae2265bdb9
78294,69900,74175,77800,AUDI,A4,2.0 TFSI ATTRACTION AVANT 180CV GASOLINA 4P MULTITRONIC,2014,Perua/SW,9b0485b774e9e918350f4b6a493db4ce
117587,88000,108081,129990,AUDI,A4,2.0 TFSI ATTRACTION GASOLINA 4P S TRONIC,2017,Sedã,2657c7ea5420664765da654a4b38efee
134784,106900,115295,139990,AUDI,A4,2.0 TFSI ATTRACTION GASOLINA 4P S TRONIC,2018,Sedã,de58d59d9944878aeed7a0afe25b2b89
60269,54900,58187,64900,AUDI,A4,2.0 TFSI AVANT 183CV GASOLINA 4P MULTITRONIC,2011,Perua/SW,79dc067bf9f761e2a80faa4818af86ff
63207,48500,60800,70000,AUDI,A4,2.0 TFSI AVANT 183CV GASOLINA 4P MULTITRONIC,2012,Perua/SW,94e480a831d3899164cc91725bb825ed
72273,66500,72657,84990,AUDI,A4,2.0 TFSI AVANT 183CV GASOLINA 4P MULTITRONIC,2013,Perua/SW,aecf10e27528b6d7fa637eb4d3432d8e
183165,152900,174609,219000,AUDI,A4,2.0 TFSI AVANT LIMITED EDITION GASOLINA 4P S TRONIC,2018,Perua/SW,d56ddb69655296bf4d2c38c4c2d8648f
107276,82500,84750,87000,AUDI,A4,2.0 TFSI GASOLINA AVANT AMBITION 4P QUATTRO S TRONIC,2013,Perua/SW,6df1dd9a480f211b8c0fd3c47344f7bc
128668,96000,122498,158000,AUDI,A4,2.0 TFSI LAUNCH EDITION GASOLINA 4P S TRONIC,2016,Sedã,ea91addd1bfbb57cbdfce86fe11df344
